event_num,event,date,venue,attendance,city,state,country,weight_class,winner,loser,method,round,time,fight_card,event_name,link
304,Bellator 298,2023-08-11,Sanford Pentagon,,Sioux Falls, South Dakota, US,Lightweight,Alfie Davis,Aalon Cruz,,,,Preliminary card (Youtube/Pluto TV),Bellator 298,https://en.wikipedia.org//wiki/Bellator_298
304,Bellator 298,2023-08-11,Sanford Pentagon,,Sioux Falls, South Dakota, US,Middleweight,Imamshafi Aliev,Anthony Adams,,,,Preliminary card (Youtube/Pluto TV),Bellator 298,https://en.wikipedia.org//wiki/Bellator_298
304,Bellator 298,2023-08-11,Sanford Pentagon,,Sioux Falls, South Dakota, US,Women's Flyweight,Diana Avsaragova,Justine Kish,,,,Preliminary card (Youtube/Pluto TV),Bellator 298,https://en.wikipedia.org//wiki/Bellator_298
304,Bellator 298,2023-08-11,Sanford Pentagon,,Sioux Falls, South Dakota, US,Bantamweight,Leandro Higo,Nikita Mikhailov,,,,Preliminary card (Youtube/Pluto TV),Bellator 298,https://en.wikipedia.org//wiki/Bellator_298
304,Bellator 298,2023-08-11,Sanford Pentagon,,Sioux Falls, South Dakota, US,Heavyweight,Valentin Moldavsky,Steve Mowry,,,,Main card,Bellator 298,https://en.wikipedia.org//wiki/Bellator_298
304,Bellator 298,2023-08-11,Sanford Pentagon,,Sioux Falls, South Dakota, US,Lightweight,Sidney Outlaw,Islam Mamedov,,,,Main card,Bellator 298,https://en.wikipedia.org//wiki/Bellator_298
304,Bellator 298,2023-08-11,Sanford Pentagon,,Sioux Falls, South Dakota, US,Bantamweight,Bryce Meredith,Alberto Rodriguez,,,,Preliminary card (Youtube/Pluto TV),Bellator 298,https://en.wikipedia.org//wiki/Bellator_298
304,Bellator 298,2023-08-11,Sanford Pentagon,,Sioux Falls, South Dakota, US,Middleweight,Khalid Murtazaliev,Mike Shipman,,,,Preliminary card (Youtube/Pluto TV),Bellator 298,https://en.wikipedia.org//wiki/Bellator_298
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan,Lightweight,A. J. McKee,Patricky Pitbull,,,,Main card,Bellator MMA x Rizin 2,https://en.wikipedia.org//wiki/Bellator_MMA_x_Rizin_2
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan,Flyweight,Kyoji Horiguchi,Makoto Shinryu,,,,Main card,Bellator MMA x Rizin 2,https://en.wikipedia.org//wiki/Bellator_MMA_x_Rizin_2
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan,Bantamweight,Kai Asakura,Juan Archuleta,,,,Super Rizin 2 (Fite TV PPV),Bellator MMA x Rizin 2,https://en.wikipedia.org//wiki/Bellator_MMA_x_Rizin_2
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan,Middleweight,Daichi Abe,Igor Tanabe,,,,Super Rizin 2 (Fite TV PPV),Bellator MMA x Rizin 2,https://en.wikipedia.org//wiki/Bellator_MMA_x_Rizin_2
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan,Women's Flyweight,Kana Watanabe,Veta Arteaga,,,,Main card,Bellator MMA x Rizin 2,https://en.wikipedia.org//wiki/Bellator_MMA_x_Rizin_2
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan,Featherweight,Mikuru Asakura,Vugar Karamov,,,,Super Rizin 2 (Fite TV PPV),Bellator MMA x Rizin 2,https://en.wikipedia.org//wiki/Bellator_MMA_x_Rizin_2
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan,Bantamweight,Kenta Takizawa,Shinobu Ota,,,,Super Rizin 2 (Fite TV PPV),Bellator MMA x Rizin 2,https://en.wikipedia.org//wiki/Bellator_MMA_x_Rizin_2
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan,Bantamweight,Danny Sabatello,Magomed Magomedov,,,,Main card,Bellator MMA x Rizin 2,https://en.wikipedia.org//wiki/Bellator_MMA_x_Rizin_2
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan,Super Atomweight,Seika Izawa (c),Claire Lopez,,,,Super Rizin 2 (Fite TV PPV),Bellator MMA x Rizin 2,https://en.wikipedia.org//wiki/Bellator_MMA_x_Rizin_2
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan,Welterweight,Andrey Koreshkov,Lorenz Larkin,,,,Main card,Bellator MMA x Rizin 2,https://en.wikipedia.org//wiki/Bellator_MMA_x_Rizin_2
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Lightweight,Archie Colgan,Emmanuel Sanchez,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Featherweight,Cody Law,Edwin Chavez,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Middleweight,Norbert Növényi Jr.,Kamil Oniszczuk,KO (punches),1.0,46.0,Preliminary card (Youtube/Pluto TV),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Featherweight,Timur Khizriev,Richie Smullen,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Postliminary card (Youtube),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Heavyweight,Wladmir Gouvea,Gabriel Sayeg,KO (body kick and punches),1.0,20.0,Postliminary card (Youtube),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Welterweight,Kyle Crutchmer,Bobby Nash,TKO (punches),1.0,222.0,Postliminary card (Youtube),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Welterweight,Ramazan Kuramagomedov,Jaleel Willis,KO (knee and punches),1.0,84.0,Preliminary card (Youtube/Pluto TV),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Heavyweight,Gökhan Saricam,Daniel James,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Lightweight,Mike Hamel,Shamil Nikaev,"Decision (majority) (28–28, 29–28, 29–28)",3.0,300.0,Postliminary card (Youtube),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Light Heavyweight,Karl Moore,Alex Polizzi,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Postliminary card (Youtube),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Lightweight,Gadzhi Rabadanov,Pieter Buist,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Bantamweight,Sergio Pettis (c),Patrício Pitbull,"Decision (unanimous) (49–46, 50–45, 50–45)",5.0,300.0,Main card,Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Middleweight,Jordan Newman,Matthew Perry,Submission (keylock),1.0,260.0,Preliminary card (Youtube/Pluto TV),Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Light Heavyweight,Corey Anderson,Phil Davis,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Main card,Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US,Light Heavyweight,Vadim Nemkov (c),Yoel Romero,"Decision (unanimous) (49–46, 49–46, 49–46)",5.0,300.0,Main card,Bellator 297,https://en.wikipedia.org//wiki/Bellator_297
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Women's Flyweight,Denise Kielholtz,Paula Cristina,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Lightweight,Saul Rogers,Davy Gallon,No Contest (overturned),1.0,132.0,Preliminary card (Youtube/Pluto TV),Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Catchweight (150 lb),Asaël Adjoudj,Georges Sasu,"Decision (unanimous) (29–28, 29–28, 29–27)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Middleweight,Fabian Edwards,Gegard Mousasi,"Decision (unanimous) (49–46, 49–46, 49–46)",5.0,300.0,Main card,Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Welterweight,Luca Poclit,Oliver Enkamp,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Welterweight,Romain Debienne,Bourama Camara,KO (punches),2.0,64.0,Preliminary card (Youtube/Pluto TV),Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Lightweight,Thibault Gouti,Kane Mousah,KO (punch),2.0,238.0,Main card,Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Lightweight,Tim Wilde,Chris Gonzalez,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Lightweight,Brent Primus,Mansour Barnaoui,"Decision (unanimous) (48–47, 48–47, 48–47)",5.0,300.0,Main card,Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Middleweight,Douglas Lima,Costello van Steenis,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Main card,Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Featherweight,Yves Landu,Piotr Niedzielski,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Featherweight,Fabacary Diatta,Keir Harvie,"Decision (unanimous) (30–27, 30–27, 30–26)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Catchweight (141 lb),Sarvarjon Khamidov,Kevin Petshi,Submission (rear-naked choke),3.0,93.0,Preliminary card (Youtube/Pluto TV),Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France,Light Heavyweight,José Augusto,Simon Biyong,"Decision (unanimous) (30–27, 29–28, 30–27)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 296,https://en.wikipedia.org//wiki/Bellator_296
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Catchweight (165 lbs),Yancy Medeiros,Charlie Leary,Submission (rear-naked choke),1.0,279.0,Main card,Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Featherweight,Mads Burnell,Justin Gonzales,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Women's Flyweight,Ilima-Lei Macfarlane,Kana Watanabe,"Decision (split) (29-28, 28-29, 29-28)",3.0,300.0,Main card,Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Featherweight,Kai Kamaka III,Adli Edwards,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Lightweight,Aalon Cruz,Bobby King,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Bantamweight,Patchy Mix,Raufeon Stots (ic),KO (knee),1.0,80.0,Main card,Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Featherweight,Aaron Pico,James Gonzalez,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
