#,event,date,venue,attendance,city,state,country
237,Bellator London 2,2019-11-23,SSE Arena,,,London, England
236,Bellator 234,2019-11-14,Menora Mivtachim Arena,,,Tel Aviv, Israel
235,Bellator 233,2019-11-08,WinStar World Casino,,Thackerville, Oklahoma, US
234,Bellator 232,2019-10-26,Mohegan Sun Arena,,Uncasville, Connecticut, US
233,Bellator 231,2019-10-25,Mohegan Sun Arena,,Uncasville, Connecticut, US
232,Bellator Milan/230,2019-10-12,Ex Palalido (Allianz Cloud),,,Milan, Italy
231,Bellator 229,2019-10-04,Pechanga Resort and Casino,,Temecula, California, US
230,Bellator 228,2019-09-28,The Forum,,Inglewood, California, US
229,Bellator Dublin/227,2019-09-27,3Arena,,,Dublin, Ireland
228,Bellator 226,2019-09-07,SAP Center,,San Jose, California, US
227,Bellator 225,2019-08-24,Webster Bank Arena,,Bridgeport, Connecticut, US
226,Bellator 224,2019-07-12,WinStar World Casino,,Thackerville, Oklahoma, US
225,Bellator London/223,2019-06-22,SSE Arena,,,London, England
224,Bellator 222,2019-06-14,Madison Square Garden,,,New York City, US
223,Bellator 221,2019-05-11,Allstate Arena,,Rosemont, Illinois, US
222,Bellator Birmingham,2019-05-04,Resorts World Arena,,,Birmingham, England
221,Bellator 220,2019-04-27,SAP Center,,San Jose, California, US
220,Bellator 219,2019-03-29,Pechanga Resort and Casino,,Temecula, California, US
219,Bellator 218,2019-03-22,WinStar World Casino,,Thackerville, Oklahoma, US
218,Bellator 217,2019-02-23,3Arena,,,Dublin, Ireland
217,Bellator 216,2019-02-16,Mohegan Sun Arena,,Uncasville, Connecticut, US
216,Bellator 215,2019-02-15,Mohegan Sun Arena,,Uncasville, Connecticut, US
215,Bellator Newcastle,2019-02-09,Metro Radio Arena,,,Newcastle upon Tyne, England
214,Bellator 214,2019-01-26,The Forum,,Inglewood, California, US
213,Bellator 213,2018-12-15,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US
212,Bellator 212,2018-12-14,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US
211,Bellator 211,2018-12-01,RDS Stadium,,,Genoa, Italy
210,Bellator 210,2018-11-30,WinStar World Casino,,Thackerville, Oklahoma, US
209,Bellator 209,2018-11-15,Menora Mivtachim Arena,,,Tel Aviv, Israel
208,Bellator 208,2018-10-13,Nassau Coliseum,,Uniondale, New York, US
207,Bellator 207,2018-10-12,Mohegan Sun Arena,,Uncasville, Connecticut, US
206,Bellator 206,2018-09-29,SAP Center,,San Jose, California, US
205,Bellator 205,2018-09-21,CenturyLink Arena,,Boise, Idaho, US
204,Bellator 204,2018-08-17,Sanford Pentagon,,Sioux Falls, South Dakota, US
203,Bellator 203,2018-07-14,Foro Italico,,,Rome, Italy
202,Bellator 202,2018-07-13,WinStar World Casino,,Thackerville, Oklahoma, US
201,Bellator 201,2018-06-29,Pechanga Resort and Casino,,Temecula, California, US
200,Bellator 200,2018-05-25,"The SSE Arena, Wembley",,,London, England
199,Bellator 199,2018-05-12,SAP Center,,San Jose, California, US
198,Bellator 198,2018-04-28,Allstate Arena,,Rosemont, Illinois, US
197,Bellator 197,2018-04-13,Family Arena,,St. Charles, Missouri, US
196,Bellator 196,2018-04-06,BOK Hall,,,Budapest, Hungary
—,Bellator: Monster Energy Fight Series: Atlanta,2018-03-03,Georgia World Congress Center,,Atlanta, Georgia, US
195,Bellator 195,2018-03-02,WinStar World Casino,,Thackerville, Oklahoma, US
194,Bellator 194,2018-02-16,Mohegan Sun Arena,,Uncasville, Connecticut, US
193,Bellator 193,2018-01-26,Pechanga Resort and Casino,,Temecula, California, US
192,Bellator 192,2018-01-20,The Forum,,Inglewood, California, US
191,Bellator 191,2017-12-15,Metro Radio Arena,,Newcastle, England, UK
