weight_class,winner,loser,method,round,time,fight_card,event_name,event_id
Featherweight,Ryan Hall,Darren Elkins,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: de Randamie vs. Ladd,6e1885b8b1e47fad24888eda40decbd73f27cd002386a2338316c558a617ec90
Featherweight,Julio Arce,Julian Erosa,KO (head kick),3.0,109.0,Preliminary Card (ESPN+),UFC Fight Night: dos Anjos vs. Lee,c99dd52d9fe27f87fb32666444f51be0ee14d34dc389526265353ca150b34902
Women's Featherweight,Cris Cyborg,Felicia Spencer,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC 240: Holloway vs. Edgar,50d1b20336f0640b60d4b0a3d2bd1faf49367dbc13a691d46f2c7783dfe8b438
Flyweight,Rogério Bontorin,Raulian Paiva,TKO (doctor stoppage),1.0,176.0,Preliminary card (ESPN+),UFC Fight Night: Shevchenko vs. Carmouche 2,192f765d672aff403f202964ae2e3eb5cd0b88a158ded5006d4c461339021ad4
Lightweight,Devonte Smith,Dong Hyun Ma,TKO (punches),1.0,229.0,Preliminary Card (ESPN),UFC 234: Adesanya vs. Silva,30c812ea22b00f1c68dea5fd91e2ced1782fc7bfb46b8813f0ddb7185b0bcb41
Heavyweight,Andrei Arlovski,Ben Rothwell,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC on ESPN: dos Anjos vs. Edwards,dfe21c292dc9a0ac66f60e051e4ad82a00b52ab943f87c617c9a24f39b5e598e
Middleweight,Deron Winn,Eric Spicely,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary Card (ESPN),UFC Fight Night: Moicano vs. The Korean Zombie,95f546fb6663bd773dae4025f889a6728bdb13fc2edbd23f94ed9e9926dbe7f1
Heavyweight,Sergey Spivak,Tai Tuivasa,Technical Submission (arm-triangle choke),2.0,194.0,Main card,UFC 243: Whittaker vs. Adesanya,74f3626bae38ea8df9c64978263085fc5a2535d366f16718187678713d74d7fc
Welterweight,Nicolas Dalby,Alex Oliveira,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Hermansson vs. Cannonier,42f28817bc5e4b1494f2dc5e14fd97232627e26736584d37a3bd373bf5b78a73
Heavyweight,Walt Harris,Sergey Spivak,TKO (knees and punches),1.0,50.0,Main card,UFC Fight Night: Iaquinta vs. Cowboy,8b7443c7c5e2f2f1edf0c2be3695c33099f0315ab4184ec26d858ba58d355a5b
