weight_class,winner,loser,method,round,time,fight_card,event_name,event_id
Heavyweight,Jairzinho Rozenstruik,Chris Daukaus,TKO (punches),1.0,23.0,Preliminary card (ESPN2 / ESPN+),UFC 282: Błachowicz vs. Ankalaev,502f7275b810fa0bfd4da6bb83a13ef8b24898350756ccb0ad6310b784316138
Women's Strawweight,Yan Xiaonan,Mackenzie Dern,"Decision (majority) (48–47, 48–47, 47–47)",5.0,300.0,Main card,UFC Fight Night: Dern vs. Yan,d1dd88bc1688afaaf959d6781476fd5836ef769bb69989210224cb15d85c6557
Flyweight,Charles Johnson,Jimmy Flick,TKO (elbows and punches),1.0,273.0,Preliminary card (ESPN+),UFC Fight Night: Strickland vs. Imavov,f7c8f38c30c26710fd0dd9c4f75b750a182b92339b8c26cb70403355c02641aa
Women's Strawweight,Cory McKenna,Miranda Granger,Submission (Von Flue choke),2.0,63.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Santos vs. Hill,d08c2ed3004e04c4146d2fd152a65b5c191095854e54f82776679f21466a0d28
Featherweight,Francis Marshall,Marcelo Rojo,KO (punches),2.0,74.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Thompson vs. Holland,79f9095f5c2409de8b3ab55694026f915dd4075d84e015a5cfd015996cd8bab3
Featherweight,Dan Ige,Damon Jackson,KO (punch),2.0,253.0,Main card,UFC Fight Night: Strickland vs. Imavov,f7c8f38c30c26710fd0dd9c4f75b750a182b92339b8c26cb70403355c02641aa
Welterweight,Jack Della Maddalena,Danny Roberts,TKO (punches),1.0,204.0,Main card,UFC Fight Night: Nzechukwu vs. Cuțelaba,89784624f21b2c466825bf3a7db9b33caa7a873b16858d07b46e455761315688
Middleweight,Roman Dolidze,Phil Hawes,KO (punches),1.0,249.0,Preliminary card (ESPN+),UFC Fight Night: Kattar vs. Allen,ab90cb8e05490e5502fc2a7a9c5287e6d3b4836e22e67f9cf12663c7abf3b4fa
Catchweight (120 lb),Angela Hill,Lupita Godinez,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Vera vs. Cruz,9df7e5274a4be85e767b411c0884303fb7e458ca039f4a2b6cc8e795177de09c
Women's Bantamweight,Lucie Pudilová,Wu Yanan,TKO (elbows),2.0,244.0,Main card,UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Heavyweight,Mohammad Usman,Junior Tafa,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Catchweight (157.5 lb),Grant Dawson,Mark Madsen,Submission (rear-naked choke),3.0,125.0,Main card,UFC Fight Night: Rodriguez vs. Lemos,2d3f40573aadf9b4c546662e6812130488efc9a4555a0c001ea3314d23ae7f46
Heavyweight,Justin Tafa,Parker Porter,KO (punch),1.0,66.0,Main card,UFC 284: Makhachev vs. Volkanovski,ce40cb6b82744f27a5062260ab048c0f07b7cd588bacdeaa3b975874474616c7
Women's Flyweight,Jasmine Jasudavicius,Gabriella Fernandes,"Decision (unanimous) (30–26, 30–26, 30–26)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Muniz vs. Allen,c1a6307ea5d9a56f47e3271221b55336730ff2a3626a3b84c5b2e1ad55525692
Light Heavyweight,Tyson Pedro,Harry Hunsucker,TKO (body kick and punches),1.0,65.0,Main card,UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Featherweight,Alexander Volkanovski (c),Max Holloway,"Decision (unanimous) (50–45, 50–45, 50–45)",5.0,300.0,Main card,UFC 276: Adesanya vs. Cannonier,90d00d67e135fde8b81be31e56969e5ef556663d522778fd7b6ba745fc0fe6f5
Women's Strawweight,Mackenzie Dern,Angela Hill,"Decision (unanimous) (49–43, 49–44, 49–44)",5.0,300.0,Main card,UFC Fight Night: Dern vs. Hill,d8efd546a501350524b7b0987463472ddc45083f561753df30f5e0e468e4271a
Catchweight (117.5 lb),Karolina Kowalkiewicz,Vanessa Demopoulos,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Dern vs. Hill,d8efd546a501350524b7b0987463472ddc45083f561753df30f5e0e468e4271a
Light Heavyweight,Marcin Prachnio,William Knight,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Andrade vs. Blanchfield,adee5b8894a29bd40c722f70d20ff83beae58e3bb1eeebf96c510dd3b75d5db7
Women's Flyweight,Iasmin Lucindo,Brogan Walker-Sanchez,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Welterweight,Bryan Battle,Takashi Sato,KO (head kick),1.0,44.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Santos vs. Hill,d08c2ed3004e04c4146d2fd152a65b5c191095854e54f82776679f21466a0d28
Women's Flyweight,Juliana Miller,Brogan Walker-Sanchez,TKO (punches and elbows),3.0,237.0,Main card,UFC on ESPN: Santos vs. Hill,d08c2ed3004e04c4146d2fd152a65b5c191095854e54f82776679f21466a0d28
Light Heavyweight,Modestas Bukauskas,Tyson Pedro,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC 284: Makhachev vs. Volkanovski,ce40cb6b82744f27a5062260ab048c0f07b7cd588bacdeaa3b975874474616c7
Lightweight,Clay Guida,Scott Holtzman,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Thompson vs. Holland,79f9095f5c2409de8b3ab55694026f915dd4075d84e015a5cfd015996cd8bab3
Lightweight,Renato Moicano,Brad Riddell,Submission (rear-naked choke),1.0,200.0,Preliminary card (ESPNews / ESPN+),UFC 281: Adesanya vs. Pereira,d3f18dff4786f312875247d3beb33ec6cda77c67bd54d691dff3c9cf3f298b78
Middleweight,Michał Oleksiejczuk,Cody Brundage,KO (punches),1.0,196.0,Main card,UFC Fight Night: Cannonier vs. Strickland,31397b44146d2570be8e9927fd24c992ca761a227826c7d193bd44b3a5083e4e
Bantamweight,Ricky Turcios,Kevin Natividad,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Nzechukwu vs. Cuțelaba,89784624f21b2c466825bf3a7db9b33caa7a873b16858d07b46e455761315688
Women's Strawweight,Amanda Lemos,Marina Rodriguez,TKO (punches),3.0,54.0,Main card,UFC Fight Night: Rodriguez vs. Lemos,2d3f40573aadf9b4c546662e6812130488efc9a4555a0c001ea3314d23ae7f46
Lightweight,Joe Solecki,Alex da Silva Coelho,"Decision (majority) (28–28, 28–27, 29–27)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Volkov vs. Rozenstruik,a6bfec6b710d6d32433290476919c201e785cb3b82e718e06c415293fb67ef1b
Welterweight,Stephen Thompson,Kevin Holland,TKO (corner stoppage),4.0,300.0,Main card,UFC on ESPN: Thompson vs. Holland,79f9095f5c2409de8b3ab55694026f915dd4075d84e015a5cfd015996cd8bab3
Lightweight,Bobby Green,Jared Gordon,No Contest (accidental clash of heads),1.0,275.0,Main card,UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Welterweight,Leon Edwards,Kamaru Usman (c),KO (head kick),5.0,244.0,Main card,UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Middleweight,Tresean Gore,Josh Fremd,Technical Submission (guillotine choke),2.0,49.0,Main card,UFC Fight Night: Kattar vs. Allen,ab90cb8e05490e5502fc2a7a9c5287e6d3b4836e22e67f9cf12663c7abf3b4fa
Middleweight,Robert Whittaker,Marvin Vettori,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card,UFC Fight Night: Gane vs. Tuivasa,b73bdfbe540fe11857188b9103304a373b95cc6096a483754caee1fcf484aa7a
Welterweight,Trevin Giles,Preston Parsons,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Vera vs. Sandhagen,e0d176f4aed4195c411bbd7dd3976e954e4f44e349c30b5531bb68f2a579e75e
Catchweight (140 lb),Daniel Santos,John Castañeda,KO (punches and knee),2.0,268.0,Preliminary card (ESPN+),UFC Fight Night: Dern vs. Yan,d1dd88bc1688afaaf959d6781476fd5836ef769bb69989210224cb15d85c6557
Middleweight,Roman Kopylov,Alessio Di Chirico,KO (punches),3.0,69.0,Main card,UFC Fight Night: Gane vs. Tuivasa,b73bdfbe540fe11857188b9103304a373b95cc6096a483754caee1fcf484aa7a
Bantamweight,Da'Mon Blackshear,Youssef Zalal,"Draw (majority) (29–28, 28–28, 28–28)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Vera vs. Cruz,9df7e5274a4be85e767b411c0884303fb7e458ca039f4a2b6cc8e795177de09c
Featherweight,Ricardo Ramos,Danny Chavez,KO (spinning back elbow),1.0,72.0,Preliminary card (ESPN2 / ESPN+),UFC on ESPN: Kattar vs. Emmett,3c636e60305c6d415db9e3191bc80ec4452c039c69a171f7bc9ca53a3079fb84
Middleweight,Eryk Anders,Kyle Daukaus,TKO (punches),2.0,165.0,Main card,UFC on ESPN: Thompson vs. Holland,79f9095f5c2409de8b3ab55694026f915dd4075d84e015a5cfd015996cd8bab3
Light Heavyweight,Vitor Petrino,Anton Turkalj,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Yan vs. Dvalishvili,552cb318ba795330de3b5f28c2a53ca7bd86186a0328650d0438636ccf5977db
Catchweight (206.6 lb),Ryan Spann,Dominick Reyes,KO (punches),1.0,80.0,Preliminary card (ESPNews / ESPN+),UFC 281: Adesanya vs. Pereira,d3f18dff4786f312875247d3beb33ec6cda77c67bd54d691dff3c9cf3f298b78
Light Heavyweight,Ion Cuțelaba,Tanner Boser,TKO (punches),1.0,125.0,Main card,UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Middleweight,Roman Dolidze,Jack Hermansson,TKO (punches),2.0,246.0,Main card,UFC on ESPN: Thompson vs. Holland,79f9095f5c2409de8b3ab55694026f915dd4075d84e015a5cfd015996cd8bab3
Welterweight,A.J. Fletcher,Themba Gorimbo,Submission (guillotine choke),2.0,97.0,Preliminary card (ESPN+),UFC Fight Night: Andrade vs. Blanchfield,adee5b8894a29bd40c722f70d20ff83beae58e3bb1eeebf96c510dd3b75d5db7
Flyweight,Tagir Ulanbekov,Nate Maness,Submission (guillotine choke),1.0,131.0,Main card,UFC Fight Night: Rodriguez vs. Lemos,2d3f40573aadf9b4c546662e6812130488efc9a4555a0c001ea3314d23ae7f46
Heavyweight,Jailton Almeida,Shamil Abdurakhimov,TKO (punches),2.0,176.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 283: Teixeira vs. Hill,3bebb432b0f94fd66ec76540745746ecb1e2922a074d51ad8c3431c1de91a1bc
Bantamweight,Miles Johns,Vince Morales,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Nzechukwu vs. Cuțelaba,89784624f21b2c466825bf3a7db9b33caa7a873b16858d07b46e455761315688
Women's Bantamweight,Karol Rosa,Lina Länsberg,"Decision (majority) (29–27, 29–27, 28–28)",3.0,300.0,Preliminary card (ESPNews / ESPN+),UFC 280: Oliveira vs. Makhachev,074e781c6825c85f5d5089eebec4b432aa8073a92a0e687418964e2706d0033f
Catchweight (136.5 lb),Joselyne Edwards,Lucie Pudilová,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Featherweight,Yair Rodríguez,Josh Emmett,Submission (triangle choke),2.0,259.0,Main card,UFC 284: Makhachev vs. Volkanovski,ce40cb6b82744f27a5062260ab048c0f07b7cd588bacdeaa3b975874474616c7
Middleweight,Chris Curtis,Joaquin Buckley,KO (punches),2.0,169.0,Preliminary card (ESPN2 / ESPN+),UFC 282: Błachowicz vs. Ankalaev,502f7275b810fa0bfd4da6bb83a13ef8b24898350756ccb0ad6310b784316138
Women's Featherweight,Josiane Nunes,Zarah Fairn dos Santos,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 283: Teixeira vs. Hill,3bebb432b0f94fd66ec76540745746ecb1e2922a074d51ad8c3431c1de91a1bc
Light Heavyweight,Dustin Jacoby,Da Un Jung,KO (punch),1.0,193.0,Preliminary card (ESPN / ESPN+),UFC on ABC: Ortega vs. Rodríguez,a7724d5662b05fb251948921b953d827c4227511af4712c1e2beb7b817c630ac
Women's Strawweight,Yazmin Jauregui,Iasmin Lucindo,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Main card,UFC on ESPN: Vera vs. Cruz,9df7e5274a4be85e767b411c0884303fb7e458ca039f4a2b6cc8e795177de09c
Bantamweight,Gastón Bolaños,Aaron Phillips,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,300.0,Preliminary card (ESPN+),UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Flyweight,Victor Altamirano,Vinicius Salvador,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Vera vs. Sandhagen,e0d176f4aed4195c411bbd7dd3976e954e4f44e349c30b5531bb68f2a579e75e
Middleweight,Christian Leroy Duncan,Duško Todorović,TKO (knee injury),1.0,112.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 286: Edwards vs. Usman 3,0fd21c3564a5f57ae60ecbfeeccfb9834920d9ca854fa58370bd1e9dda53a574
Welterweight,Bryan Barberena,Robbie Lawler,TKO (punches),2.0,287.0,Main card,UFC 276: Adesanya vs. Cannonier,90d00d67e135fde8b81be31e56969e5ef556663d522778fd7b6ba745fc0fe6f5
Bantamweight,Raoni Barcelos,Trevin Jones,"Decision (unanimous) (30–25, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Dern vs. Yan,d1dd88bc1688afaaf959d6781476fd5836ef769bb69989210224cb15d85c6557
Catchweight (180 lb),Josh Quinlan,Jason Witt,KO (punch),1.0,129.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Vera vs. Cruz,9df7e5274a4be85e767b411c0884303fb7e458ca039f4a2b6cc8e795177de09c
Women's Strawweight,Gillian Robertson,Piera Rodríguez,Submission (armbar),2.0,261.0,Preliminary card (ESPN+),UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Flyweight,Tatsuro Taira,Jesús Santos Aguilar,Submission (triangle armbar),1.0,260.0,Preliminary card (ESPN+),UFC Fight Night: Lewis vs. Spivak,335afc512dcb1bcfd63d6bb569b9f6b1f425fa80afca90bea13f9f3a26fe391b
Catchweight (177 lb),Carlston Harris,Jared Gooden,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Yan vs. Dvalishvili,552cb318ba795330de3b5f28c2a53ca7bd86186a0328650d0438636ccf5977db
Women's Flyweight,Maycee Barber,Jessica Eye,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,300.0,Early preliminary card (ESPN / ESPN+ / UFC Fight Pass),UFC 276: Adesanya vs. Cannonier,90d00d67e135fde8b81be31e56969e5ef556663d522778fd7b6ba745fc0fe6f5
Lightweight,Nazim Sadykhov,Evan Elder,TKO (doctor stoppage),3.0,38.0,Preliminary card (ESPN+),UFC Fight Night: Andrade vs. Blanchfield,adee5b8894a29bd40c722f70d20ff83beae58e3bb1eeebf96c510dd3b75d5db7
Catchweight (127 lb),Kleydson Rodrigues,Shannon Ross,TKO (punches),1.0,59.0,Preliminary card (ESPN / ESPN+),UFC 284: Makhachev vs. Volkanovski,ce40cb6b82744f27a5062260ab048c0f07b7cd588bacdeaa3b975874474616c7
Middleweight,Brunno Ferreira,Gregory Rodrigues,KO (punch),1.0,253.0,Preliminary card (ABC / ESPN / ESPN+),UFC 283: Teixeira vs. Hill,3bebb432b0f94fd66ec76540745746ecb1e2922a074d51ad8c3431c1de91a1bc
Welterweight,Nicolas Dalby,Warlley Alves,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 283: Teixeira vs. Hill,3bebb432b0f94fd66ec76540745746ecb1e2922a074d51ad8c3431c1de91a1bc
Welterweight,Joaquin Buckley,André Fialho,TKO (head kick),2.0,255.0,Main card,UFC Fight Night: Dern vs. Hill,d8efd546a501350524b7b0987463472ddc45083f561753df30f5e0e468e4271a
Bantamweight,Cody Stamann,Luan Lacerda,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 283: Teixeira vs. Hill,3bebb432b0f94fd66ec76540745746ecb1e2922a074d51ad8c3431c1de91a1bc
Light Heavyweight,Khalil Rountree Jr.,Dustin Jacoby,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Main card,UFC Fight Night: Kattar vs. Allen,ab90cb8e05490e5502fc2a7a9c5287e6d3b4836e22e67f9cf12663c7abf3b4fa
Heavyweight,Ilir Latifi,Aleksei Oleinik,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Dern vs. Yan,d1dd88bc1688afaaf959d6781476fd5836ef769bb69989210224cb15d85c6557
Bantamweight,Alateng Heili,Chad Anheliger,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Early preliminary card (ESPN / ESPN+ / UFC Fight Pass),UFC 279: Diaz vs. Ferguson,3a5af8a99a2c804cca9d840d43eb60ac282899e769db384c632a891d2bbc6889
Middleweight,Paulo Costa,Luke Rockhold,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Welterweight,Rinat Fakhretdinov,Bryan Battle,"Decision (unanimous) (30–25, 30–25, 30–27)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Cannonier vs. Strickland,31397b44146d2570be8e9927fd24c992ca761a227826c7d193bd44b3a5083e4e
Light Heavyweight,Jimmy Crute,Alonzo Menifield,"Draw (majority) (29–27, 28–28, 28–28)",3.0,300.0,Main card,UFC 284: Makhachev vs. Volkanovski,ce40cb6b82744f27a5062260ab048c0f07b7cd588bacdeaa3b975874474616c7
Bantamweight,Said Nurmagomedov,Saidyokub Kakhramonov,Submission (ninja choke),2.0,230.0,Preliminary card (ESPN+),UFC Fight Night: Cannonier vs. Strickland,31397b44146d2570be8e9927fd24c992ca761a227826c7d193bd44b3a5083e4e
Welterweight,Shavkat Rakhmonov,Neil Magny,Submission (guillotine choke),2.0,298.0,Main card,UFC on ESPN: Tsarukyan vs. Gamrot,f9d5f817723a545ecd1b4e92c15fc2d0b9243941569c9280afd856fc18cf1a66
Featherweight,Shayilan Nuerdanbieke,T.J. Brown,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN2 / ESPN+),UFC on ESPN: Tsarukyan vs. Gamrot,f9d5f817723a545ecd1b4e92c15fc2d0b9243941569c9280afd856fc18cf1a66
Lightweight,Gabriel Benítez,Charlie Ontiveros,TKO (punches),1.0,215.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Vera vs. Cruz,9df7e5274a4be85e767b411c0884303fb7e458ca039f4a2b6cc8e795177de09c
Featherweight,Choi Doo-ho,Kyle Nelson,"Draw (majority) (29–27, 28–28, 28–28)",3.0,300.0,Main card,UFC Fight Night: Lewis vs. Spivak,335afc512dcb1bcfd63d6bb569b9f6b1f425fa80afca90bea13f9f3a26fe391b
Women's Strawweight,Yazmin Jauregui,Istela Nunes,TKO (punches),2.0,246.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Thompson vs. Holland,79f9095f5c2409de8b3ab55694026f915dd4075d84e015a5cfd015996cd8bab3
Lightweight,Jamie Mullarkey,Francisco Prado,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC 284: Makhachev vs. Volkanovski,ce40cb6b82744f27a5062260ab048c0f07b7cd588bacdeaa3b975874474616c7
Welterweight,Jeremiah Wells,Matthew Semelsberger,"Decision (split) (30–27, 28–29, 30–27)",3.0,300.0,Main card,UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Welterweight,Themba Gorimbo,Takashi Sato,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Dern vs. Hill,d8efd546a501350524b7b0987463472ddc45083f561753df30f5e0e468e4271a
Catchweight (129 lb),Tatsuro Taira,C.J. Vergara,Submission (armbar),2.0,259.0,Preliminary card (ESPN+),UFC Fight Night: Grasso vs. Araújo,9c471d888ce93e23b11cf5eca3e14c3760aafe1c7b7e1536a50a75d3d5452db7
Heavyweight,Ciryl Gane,Tai Tuivasa,KO (punches),3.0,263.0,Main card,UFC Fight Night: Gane vs. Tuivasa,b73bdfbe540fe11857188b9103304a373b95cc6096a483754caee1fcf484aa7a
Welterweight,Neil Magny,Daniel Rodriguez,Submission (D'Arce choke),3.0,213.0,Main card,UFC Fight Night: Rodriguez vs. Lemos,2d3f40573aadf9b4c546662e6812130488efc9a4555a0c001ea3314d23ae7f46
Middleweight,Jacob Malkoun,Nick Maximov,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Grasso vs. Araújo,9c471d888ce93e23b11cf5eca3e14c3760aafe1c7b7e1536a50a75d3d5452db7
Flyweight,Charles Johnson,Zhalgas Zhumagulov,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Main card,UFC Fight Night: Nzechukwu vs. Cuțelaba,89784624f21b2c466825bf3a7db9b33caa7a873b16858d07b46e455761315688
Women's Flyweight,Jennifer Maia,Maryna Moroz,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Nzechukwu vs. Cuțelaba,89784624f21b2c466825bf3a7db9b33caa7a873b16858d07b46e455761315688
Heavyweight,Mohammed Usman,Zac Pauga,KO (punches),2.0,36.0,Main card,UFC on ESPN: Santos vs. Hill,d08c2ed3004e04c4146d2fd152a65b5c191095854e54f82776679f21466a0d28
Heavyweight,Sergey Spivak,Derrick Lewis,Submission (arm-triangle choke),1.0,185.0,Main card,UFC Fight Night: Lewis vs. Spivak,335afc512dcb1bcfd63d6bb569b9f6b1f425fa80afca90bea13f9f3a26fe391b
Lightweight,Ismael Bonfim,Terrance McKinney,KO (flying knee),2.0,137.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 283: Teixeira vs. Hill,3bebb432b0f94fd66ec76540745746ecb1e2922a074d51ad8c3431c1de91a1bc
Featherweight,T.J. Brown,Erik Silva,Submission (arm-triangle choke),3.0,221.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 282: Błachowicz vs. Ankalaev,502f7275b810fa0bfd4da6bb83a13ef8b24898350756ccb0ad6310b784316138
Light Heavyweight,Ihor Potieria,Maurício Rua,TKO (punches),1.0,245.0,Preliminary card (ABC / ESPN / ESPN+),UFC 283: Teixeira vs. Hill,3bebb432b0f94fd66ec76540745746ecb1e2922a074d51ad8c3431c1de91a1bc
Lightweight,Christos Giagos,Ricky Glenn,KO (punch),1.0,95.0,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Women's Flyweight,Veronica Hardy,Juliana Miller,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 286: Edwards vs. Usman 3,0fd21c3564a5f57ae60ecbfeeccfb9834920d9ca854fa58370bd1e9dda53a574
Middleweight,Dricus du Plessis,Darren Till,Submission (face crank),3.0,163.0,Main card,UFC 282: Błachowicz vs. Ankalaev,502f7275b810fa0bfd4da6bb83a13ef8b24898350756ccb0ad6310b784316138
Middleweight,Jared Cannonier,Sean Strickland,"Decision (split) (49–46, 46–49, 49–46)",5.0,300.0,Main card,UFC Fight Night: Cannonier vs. Strickland,31397b44146d2570be8e9927fd24c992ca761a227826c7d193bd44b3a5083e4e
Women's Flyweight,Ariane Lipski,JJ Aldrich,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Yan vs. Dvalishvili,552cb318ba795330de3b5f28c2a53ca7bd86186a0328650d0438636ccf5977db
Catchweight (180 lb),Daniel Rodriguez,Li Jingliang,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Main card,UFC 279: Diaz vs. Ferguson,3a5af8a99a2c804cca9d840d43eb60ac282899e769db384c632a891d2bbc6889
Middleweight,Bruno Silva,Brad Tavares,TKO (knee and punch),1.0,215.0,Main card,UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Welterweight,Alex Morono,Tim Means,Submission (guillotine choke),2.0,129.0,Main card,UFC on ABC: Rozenstruik vs. Almeida,b1ff2fc2110c5a0c1d8fd6fcda7d544ffb5a1fce513eb03bb692fd5d03c2fcea
Light Heavyweight,Nikita Krylov,Volkan Oezdemir,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPNews / ESPN+),UFC 280: Oliveira vs. Makhachev,074e781c6825c85f5d5089eebec4b432aa8073a92a0e687418964e2706d0033f
Flyweight,Cody Durden,Carlos Mota,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Kattar vs. Allen,ab90cb8e05490e5502fc2a7a9c5287e6d3b4836e22e67f9cf12663c7abf3b4fa
Light Heavyweight,Devin Clark,Jung Da-un,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Lewis vs. Spivak,335afc512dcb1bcfd63d6bb569b9f6b1f425fa80afca90bea13f9f3a26fe391b
Catchweight (215 lb),Nikita Krylov,Ryan Spann,Submission (triangle choke),1.0,218.0,Main card,UFC Fight Night: Yan vs. Dvalishvili,552cb318ba795330de3b5f28c2a53ca7bd86186a0328650d0438636ccf5977db
Welterweight,Trey Waters,Joshua Quinlan,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC on ESPN: Song vs. Simón,1e43590228dd4bdfce337a7d45f67c32f78c9434eeeca79aedc48d31d55d96f5
Women's Flyweight,Maycee Barber,Andrea Lee,"Decision (split) (28–29, 29–28, 30–27)",3.0,300.0,Main card,UFC on ESPN: Vera vs. Sandhagen,e0d176f4aed4195c411bbd7dd3976e954e4f44e349c30b5531bb68f2a579e75e
