event_details,event_date,event_title,fighter1,fighter2,city,state,country
http://ufcstats.com/event-details/236a37d96d476164,2022-04-23,UFC Fight Night, Lemos,Andrade,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/8753e125f4499816,2022-04-16,UFC Fight Night, Luque,Muhammad,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/3a97fda0de6f1fa4,2022-04-09,UFC 273, Volkanovski,The Korean Zombie,Jacksonville,Florida,USA
http://ufcstats.com/event-details/1fac46d466abd5b8,2022-03-26,UFC Fight Night, Blaydes,Daukaus,Columbus,Ohio,USA
http://ufcstats.com/event-details/1d00756835ca67c9,2022-03-19,UFC Fight Night, Volkov,Aspinall,London,England,United Kingdom
http://ufcstats.com/event-details/1f9344211ca7fd60,2022-03-12,UFC Fight Night, Santos,Ankalaev,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/75e0d3cc2262b732,2022-03-05,UFC 272, Covington,Masvidal,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/f6a7b02c42e9fc5b,2022-02-26,UFC Fight Night, Makhachev,Green,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/77940e45bc86208e,2022-02-19,UFC Fight Night, Walker,Hill,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/cbb682f5fcc44bfc,2022-02-12,UFC 271, Adesanya,Whittaker 2,Houston,Texas,USA
http://ufcstats.com/event-details/883922e5cd6d8473,2022-02-05,UFC Fight Night, Hermansson,Strickland,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/335ad945324c3a2e,2022-01-22,UFC 270, Ngannou,Gane,Anaheim,California,USA
http://ufcstats.com/event-details/f5585e675af7afd4,2022-01-15,UFC Fight Night, Kattar,Chikadze,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/2a470ad41c22c25a,2021-12-18,UFC Fight Night, Lewis,Daukaus,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/ef927e4fe2117ab8,2021-12-11,UFC 269, Oliveira,Poirier,Las Vegas,Nevada,USA
