event_num,event,date,venue,city,state,country,attendance
184,Road to ONE: RUF 44,2021-10-23,Glendale Civic Center,Glendale, Arizona, US,
183,ONE: First Strike,2021-10-15,Singapore Indoor Stadium,,Kallang, Singapore,
182,Road to ONE: Muay Thai Grand Prix,2021-10-09,The O2 Arena,London, England, UK,
181,Road to ONE: Sexyama Edition,2021-10-05,Shibuya O-East,,Tokyo, Japan,
180,ONE: Revolution,2021-09-24,Singapore Indoor Stadium,,Kallang, Singapore,500.0
179,ONE: Empower,2021-09-03,Singapore Indoor Stadium,,Kallang, Singapore,
178,Road to ONE: RUF 43,2021-08-29,Celebrity Theatre,Phoenix, Arizona, US,
177,ONE: Battleground 3,2021-08-27,Singapore Indoor Stadium,,Kallang, Singapore,
176,ONE: Battleground 2,2021-08-13,Singapore Indoor Stadium,,Kallang, Singapore,
175,Road to ONE: RUF 42,2021-07-31,Celebrity Theatre,Phoenix, Arizona, US,
174,ONE: Battleground,2021-07-30,Singapore Indoor Stadium,,Kallang, Singapore,
173,Road to ONE: MMA Live 8,2021-07-17,Sachsen Arena,,Riesa, Germany,
172,Road to ONE: Vendetta Fight Nights 20,2021-07-03,IBB Hamza Yerlikaya Sports Complex,,Istanbul, Turkey,
171,Road to ONE: Strikers Cage Championship 7,2021-06-26,Pabellon Quico Cabrera,,Tenerife, Spain,
170,Road to ONE: RUF 41,2021-06-20,Celebrity Theatre,Phoenix, Arizona, US,
169,Road to ONE 9: Arena Friday Night Fights 2,2021-06-11,Kovilovo resort,,Belgrade, Serbia,
168,ONE: Full Blast 2,2021-06-11,Singapore Indoor Stadium,,Kallang, Singapore,
167,ONE: Full Blast,2021-05-28,Singapore Indoor Stadium,,Kallang, Singapore,
166,ONE: Dangal,2021-05-15,Singapore Indoor Stadium,,Kallang, Singapore,0.0
165,ONE on TNT 4,2021-04-28,Singapore Indoor Stadium,,Kallang, Singapore,0.0
164,Road to ONE 8: Night of Warriors,2021-04-24,,,Prague, Czech Republic,0.0
163,ONE on TNT 3,2021-04-21,Singapore Indoor Stadium,,Kallang, Singapore,0.0
162,ONE on TNT 2,2021-04-14,Singapore Indoor Stadium,,Kallang, Singapore,0.0
161,ONE on TNT 1,2021-04-07,Singapore Indoor Stadium,,Kallang, Singapore,0.0
160,ONE: Fists Of Fury 3,2021-03-19,Singapore Indoor Stadium,,Kallang, Singapore,0.0
159,Road to ONE 7: RUF 39,2021-03-13,Glendale Civic Center,Glendale, Arizona, US,
158,ONE: Fists Of Fury 2,2021-03-05,Singapore Indoor Stadium,,Kallang, Singapore,0.0
157,ONE: Fists Of Fury,2021-02-26,Singapore Indoor Stadium,,Kallang, Singapore,0.0
156,Road to ONE 6: Young Guns,2021-02-22,Tsutaya O-East,,Tokyo, Japan,
155,ONE: Unbreakable 3,2021-02-05,Singapore Indoor Stadium,,Kallang, Singapore,
154,ONE: Unbreakable 2,2021-01-29,Singapore Indoor Stadium,,Kallang, Singapore,
153,ONE: Unbreakable,2021-01-22,Singapore Indoor Stadium,,Kallang, Singapore,
152,ONE: Collision Course 2,2020-12-25,Singapore Indoor Stadium,,Kallang, Singapore,
151,ONE: Collision Course,2020-12-18,Singapore Indoor Stadium,,Kallang, Singapore,
150,ONE: Big Bang 2,2020-12-11,Singapore Indoor Stadium,,Kallang, Singapore,
149,Road to ONE 5: WSS,2020-12-07,World Siam Stadium,,Bangkok, Thailand,
148,ONE: Big Bang,2020-12-04,Singapore Indoor Stadium,,Kallang, Singapore,
147,Road to ONE 4: Fair Fight 13,2020-11-28,Akademiya Yedinoborstv Rmk,,Yekaterinburg, Russia,
146,ONE: Inside the Matrix 4,2020-11-20,Singapore Indoor Stadium,,Kallang, Singapore,
145,ONE: Inside the Matrix 3,2020-11-13,Singapore Indoor Stadium,,Kallang, Singapore,
144,ONE: Inside the Matrix 2,2020-11-06,Singapore Indoor Stadium,,Kallang, Singapore,
143,ONE: Inside the Matrix,2020-10-30,Singapore Indoor Stadium,,Kallang, Singapore,250.0
142,ONE: Reign of Dynasties 2,2020-10-16,Singapore Indoor Stadium,,Kallang, Singapore,0.0
141,ONE: Reign of Dynasties,2020-10-09,Singapore Indoor Stadium,,Kallang, Singapore,0.0
140,Road to ONE 3: Tokyo Fight Night,2020-09-10,Shibuya O-East,,Tokyo, Japan,
139,ONE: A New Breed 3,2020-08-28,IMPACT Arena,,Bangkok, Thailand,
138,ONE: A New Breed 2,2020-08-28,IMPACT Arena,,Bangkok, Thailand,
137,ONE: A New Breed,2020-08-28,IMPACT Arena,,Bangkok, Thailand,
136,ONE: No Surrender 3,2020-07-31,IMPACT Arena,,Bangkok, Thailand,0.0
135,ONE: No Surrender 2,2020-07-31,IMPACT Arena,,Bangkok, Thailand,0.0
134,ONE: No Surrender,2020-07-31,IMPACT Arena,,Bangkok, Thailand,0.0
–,ONE: Fists of Fury,2020-07-03,Singapore Indoor Stadium,,Kallang, Singapore,
–,ONE: Heart of Heroes,2020-06-26,Phú Thọ Indoor Stadium,,Ho Chi Minh City, Vietnam,
133,ONE Hero Series 14,2020-06-21,,,Shanghai, China,
132,ONE Hero Series 13,2020-06-20,,,Shanghai, China,
–,ONE: Legendary Warriors,2020-06-19,Baoshan Arena,,Shanghai, China,
–,ONE Warrior Series 11,2020-06-11,,,Kallang, Singapore,
–,ONE: Battle for the Ages,2020-06-05,Istora Senayan,,Jakarta, Indonesia,
–,ONE: Infinity 2,2020-06-19,Mall of Asia Arena,,Pasay, Philippines,
–,ONE: Inspiration,2020-05-08,Singapore Indoor Stadium,,Kallang, Singapore,
–,ONE: Dreams,2020-05-01,Singapore Indoor Stadium,,Kallang, Singapore,
–,ONE: Strength,2020-04-24,Singapore Indoor Stadium,,Kallang, Singapore,
–,ONE: Hope,2020-04-17,Singapore Indoor Stadium,,Kallang, Singapore,
–,ONE: Infinity 1,2020-04-10,Mall of Asia Arena,,Pasay, Philippines,
131,ONE: King of the Jungle,2020-02-28,Singapore Indoor Stadium,,Kallang, Singapore,
130,ONE Warrior Series 10,2020-02-19,,,Kallang, Singapore,
129,ONE: Warrior's Code,2020-02-07,Istora Senayan,,Jakarta, Indonesia,
128,ONE: Fire & Fury,2020-01-31,SM Mall of Asia Arena,,Pasay, Philippines,
127,ONE: A New Tomorrow,2020-01-10,Impact Arena,,Bangkok, Thailand,
126,ONE Hero Series 12,2019-12-16,,,Beijing, China,
125,ONE: Mark Of Greatness,2019-12-06,Axiata Arena,,Kuala Lumpur, Malaysia,
124,ONE Warrior Series 9,2019-12-04,,,Kallang, Singapore,
123,ONE: Edge of Greatness,2019-11-22,Singapore Indoor Stadium,,Kallang, Singapore,
122,ONE Hero Series 11,2019-11-18,,,Beijing, China,
121,ONE: Age of Dragons,2019-11-16,Cadillac Arena,,Beijing, China,
120,ONE: Masters of Fate,2019-11-08,SM Mall of Asia Arena,,Pasay, Philippines,
119,ONE Hero Series 10,2019-10-28,,,Beijing, China,
118,ONE: Dawn of Valor,2019-10-25,Istora Senayan,,Jakarta, Indonesia,
117,ONE: Century,2019-10-13,Ryōgoku Kokugikan,,Tokyo, Japan,
116,ONE Warrior Series 8,2019-10-05,Bellesalle Shibuya Garden,,Tokyo, Japan,
115,ONE Hero Series 9,2019-09-23,,,Beijing, China,
114,ONE: Immortal Triumph,2019-09-06,Phú Thọ Indoor Stadium,,Ho Chi Minh City, Vietnam,
113,ONE Hero Series 8,2019-08-26,,,Beijing, China,
112,ONE: Dreams of Gold,2019-08-16,IMPACT Arena,,Bangkok, Thailand,
111,ONE Warrior Series 7,2019-08-06,,,Kallang, Singapore,
110,ONE: Dawn Of Heroes,2019-08-02,SM Mall of Asia Arena,,Pasay, Philippines,
109,ONE Hero Series 7,2019-07-22,,,Beijing, China,
108,ONE: Masters Of Destiny,2019-07-12,Axiata Arena,,Kuala Lumpur, Malaysia,
107,ONE Warrior Series 6,2019-06-20,,,Kallang, Singapore,
106,ONE: Legendary Quest,2019-06-15,Baoshan Arena,,Shanghai, China,
105,ONE Hero Series 6,2019-06-14,,,Shanghai, China,
104,ONE Hero Series 5,2019-05-27,,,Beijing, China,
103,ONE: Enter the Dragon,2019-05-17,Singapore Indoor Stadium,,Kallang, Singapore,
102,ONE: Warriors Of Light,2019-05-10,IMPACT Arena,,Bangkok, Thailand,
101,ONE: For Honor,2019-05-03,Istora Senayan,,Jakarta, Indonesia,
100,ONE Warrior Series 5,2019-04-25,,,Kallang, Singapore,
99,ONE Hero Series 4,2019-04-22,,,Beijing, China,
98,ONE: Roots Of Honor,2019-04-12,SM Mall of Asia Arena,,Pasay, Philippines,
97,ONE: A New Era,2019-03-31,Ryōgoku Kokugikan,,Tokyo, Japan,
96,ONE Hero Series 3,2019-03-25,,,Beijing, China,
95,ONE: Reign of Valor,2019-03-08,Thuwunna National Indoor Stadium,,Yangon, Myanmar,
94,ONE Warrior Series 4,2019-02-28,,,Kallang, Singapore,
93,ONE Hero Series 2,2019-02-25,,,Beijing, China,
92,ONE: Call to Greatness,2019-02-22,Singapore Indoor Stadium,,Kallang, Singapore,
91,ONE: Clash of Legends,2019-02-16,IMPACT Arena,,Bangkok, Thailand,
90,ONE Hero Series 1,2019-01-28,,,Beijing, China,
89,ONE: Hero's Ascent,2019-01-25,Mall of Asia Arena,,Pasay, Philippines,
88,ONE: Eternal Glory,2019-01-19,Istora Senayan,,Jakarta, Indonesia,
87,ONE: Destiny of Champions,2018-12-07,Axiata Arena,,Kuala Lumpur, Malaysia,
86,ONE: Conquest of Champions,2018-11-23,SM Mall of Asia Arena,,Pasay, Philippines,
85,ONE: Warrior's Dream,2018-11-17,Istora Senayan,,Jakarta, Indonesia,
