weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link,weight
Lightweight,Robin van Roosmalen,Davit Kiria (c),Decision (majority),5,3:00,For the Lightweight Championship,Main card,Glory 18: Oklahoma,https://en.wikipedia.org//wiki/2014_in_Glory,
Middleweight,Jason Wilnis,Wayne Barrett,Decision (unanimous),3,3:00,,Main card,Glory 18: Oklahoma,https://en.wikipedia.org//wiki/2014_in_Glory,
Light Heavyweight,Saulo Cavalari,Danyo Ilunga 1,Decision (unanimous),3,3:00,Light Heavyweight Contender Tournament Semi Final,Main card,Glory 18: Oklahoma,https://en.wikipedia.org//wiki/2014_in_Glory,
Light Heavyweight,Zack Mwekassa,Brian Collette,KO (punch),2,0:45,Light Heavyweight Contender Tournament Semi Final,Main card,Glory 18: Oklahoma,https://en.wikipedia.org//wiki/2014_in_Glory,
Heavyweight,Benjamin Adegbuyi,Hesdy Gerges,Decision (unanimous),3,3:00,Heavyweight Title eliminator,Superfight Series,Glory 18: Oklahoma,https://en.wikipedia.org//wiki/2014_in_Glory,
Light Heavyweight,Randy Blake,Warren Thompson,Decision (unanimous),3,3:00,,Superfight Series,Glory 18: Oklahoma,https://en.wikipedia.org//wiki/2014_in_Glory,
Middleweight,Robert Thomas,Mike Lemaire,KO (right hooks),3,1:06,,Superfight Series,Glory 18: Oklahoma,https://en.wikipedia.org//wiki/2014_in_Glory,
Lightweight,Josh Jauncey,Jae-Gil Noh,KO (body punch/knee to the head),2,1:14,,Superfight Series,Glory 18: Oklahoma,https://en.wikipedia.org//wiki/2014_in_Glory,
Welterweight,Omari Boyd,Ian Alexander,TKO (referee stoppage),3,2:17,,Superfight Series,Glory 18: Oklahoma,https://en.wikipedia.org//wiki/2014_in_Glory,
Heavyweight 120 kg,Semmy Schilt,Errol Zimmerman,TKO (Corner Stopage),3,2:20,For the inaugural Glory Heavyweight Championship,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Gokhan Saki,Carter Williams,KO (Punch),1,1:05,,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Welterweight 77 kg,Nieky Holzken,Alex Harris,KO (Punch to the Body),2,2:44,,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Robin van Roosmalen,Dzhabar Askerov,Decision (Unanimous),3,3:00,70 kg Slam Qualification,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Davit Kiria,Kem Sitsongpeenong,Decision (Unanimous),3,3:00,70 kg Slam Qualification,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Ky Hollenbeck,Michael Corley,TKO (Referee Stopage),1,0:46,70 kg Slam Qualification,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Sanny Dahlbeck,Warren Stevelmans,Decision (Unanimous),3,3:00,70 kg Slam Qualification,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Albert Kraus,Mohammed El Mir,Decision (Unanimous),3,3:00,70 kg Slam Qualification,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Giorgio Petrosyan,Fabio Pinca,Decision (Unanimous),3,3:00,70 kg Slam Qualification,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Tim Thomas,Dennis Schneidmiller,Decision (Unanimous),3,3:00,70 kg Slam Qualification,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Shemsi Beqiri,Yoshihiro Sato,Decision (Split),3,3:00,70 kg Slam Qualification,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
MMA Light Heavyweight 93 kg,Ilir Latifi,Tony Lopez,Decision (Unanimous),3,5:00,,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
MMA Light Heavyweight 93 kg,Jason Jones,Dritan Barjamaj,Submission (Armbar),1,1:09,,Main card,Glory 1: Stockholm,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Remy Bonjasky,Anderson Silva,Decision (Majority Ext. Round),4,3:00,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Gokhan Saki,Mourad Bouzidi,Decision (Unanimous),3,3:00,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Welterweight 77 kg,Nieky Holzken,Murat Direkci,TKO (Cut),2,2:49,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Filip Verlinden,Fabiano Cyclone,Decision (Unanimous),3,3:00,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Welterweight 77 kg,Murthel Groenhart,Marc de Bonte,KO (Knee),2,0:50,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Igor Jurkovic,Gregory Tony,TKO (3 Knockdowns/Liver Shot),2,2:30,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Koichi Pettas,Mark Miller,KO (Punch),2,0:41,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Jhonata Diniz,Sebastian van Thielen,Decision (Unanimous),3,3:00,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Jahfarr Wilnis,Jamal Ben Saddik,Decision (Unanimous),3,3:00,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Marat Grigorian,Alex Vogel,TKO (Low Kick),2,2:45,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Light Heavyweight 95 kg,Danyo Ilunga,Ali Cenik,Decision (Unanimous),3,3:00,Welterweight 76 kg,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Andy Ristie,Nordin Benmoh,KO (Punch),1,2:31,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
MMA Welterweight 70 kg,Tommy Depret,Yuya Shirai,TKO (punches),3,,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
MMA Light Heavyweight 93 kg,Jason Jones,Tatsuya Mizuno,Decision (Unanimous),3,5:00,,Main card,Glory 2: Brussels,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Giorgio Petrosyan,Robin van Roosmalen,Decision (Unanimous),3,3:00,70 kg Slam Final,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Jordan Watson,Mustapha Haida,Decision (Unanimous),3,3:00,,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Robin van Roosmalen,Sanny Dahlbeck,TKO (Punch to the Body),3,0:46,70 kg Slam Semi-finals,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Giorgio Petrosyan,Davit Kiria,Decision (Unanimous),3,3:00,70 kg Slam Semi-finals,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Alka Matewa,Marco Re,Decision (Unanimous),3,3:00,,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Sanny Dahlbeck,Yoshihiro Sato,TKO (Knee to the Body),2,2:56,70 kg Slam Quarter-finals,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Robin van Roosmalen,Tim Thomas,TKO (Ref Stoppage),2,2:27,70 kg Slam Quarter-finals,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Davit Kiria,Shemsi Beqiri,Decision (Unanimous),3,3:00,70 kg Slam Quarter-finals,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Giorgio Petrosyan,Ky Hollenbeck,TKO (Injury),2,0:30,70 kg Slam Quarter-finals,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Alessandro Campagna,Fabio Pinca,Decision (Unanimous),3,3:00,70 kg Slam Reserve Fight,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Warren Stevelmans,Dzhabar Askerov,Decision (Unanimous),3,3:00,70 kg Slam Reserve Fight,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
MMA Lightweight 70 kg,Cesario di Domenico,David Dolce,Submission (Rear Naked Choke),1,1:08,,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
MMA Lightweight 70 kg,Ivan Musardo,Giorgio Belsanti,Submission (Rear Naked Choke),1,3:00,,Main card,Glory 3: Rome,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Semmy Schilt,Daniel Ghiță,TKO (Head Kick),1,2:54,Heavyweight Grand Slam Final,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Robin van Roosmalen,Yuichiro Nagashima,Decision (Unanimous),3,3:00,,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Strawweight 53 kg,Mutsuki Ebata,Sang-Jae Kim,Decision (Unanimous),3,3:00,,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Daniel Ghiță,Jamal Ben Saddik,KO (Liver Kick),1,0:25,Heavyweight Grand Slam Semi-finals,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Semmy Schilt,Gökhan Saki,Decision (Unanimous),2,3:00,Heavyweight Grand Slam Semi-finals,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Middleweight 85 kg,Jason Wilnis,Toshio Matsumoto,Decision (Unanimous),3,3:00,,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Daniel Ghiță,Mourad Bouzidi,TKO (Arm Injury),2,1:37,Heavyweight Grand Slam Quarter-finals,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Jamal Ben Saddik,Remy Bonjasky,Decision (Unanimous),2,3:00,Heavyweight Grand Slam Quarter-finals,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Gökhan Saki,Anderson Silva,TKO (Left Hook),1,3:00,Heavyweight Grand Slam Quarter-finals,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Semmy Schilt,Rico Verhoeven,Decision (Unanimous),2,3:00,Heavyweight Grand Slam Quarter-finals,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Daniel Ghiță,Jhonata Diniz,Decision (Unanimous Extra Round),3,3:00,Heavyweight Grand Slam Opening Round,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Mourad Bouzidi,Peter Aerts,TKO (Hand Injury),1,3:00,Heavyweight Grand Slam Opening Round,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Jamal Ben Saddik,Errol Zimmerman,Decision (Unanimous),2,3:00,Heavyweight Grand Slam Opening Round,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Remy Bonjasky,Filip Verlinden,Decision (Split Extra Round),3,3:00,Heavyweight Grand Slam Opening Round,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Anderson Silva,Igor Jurković,TKO (2 Knockdowns),1,,Heavyweight Grand Slam Opening Round,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Gökhan Saki,Raoumaru,TKO (2 Knockdowns),1,2:06,Heavyweight Grand Slam Opening Round,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Rico Verhoeven,Sergei Kharitonov,Decision (Unanimous),2,3:00,Heavyweight Grand Slam Opening Round,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Semmy Schilt,Brice Guidon,TKO (2 Knockdowns),2,1:53,Heavyweight Grand Slam Opening Round,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Jérôme Le Banner,Koichi Pettas,KO (Punch),3,2:48,,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
53 kg,Mutsuki Ebata,Kim Sangjae,Decision (Unanimous),3,3:00,,Main card,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Featherweight 66 kg,Tatsuya Kawajiri,Michihiro Omigawa,Decision (Unanimous),3,5:00,,Dream 18,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Featherweight 66 kg,Georgi Karakhanyan,Hiroyuki Takaya,Decision (Split),3,5:00,,Dream 18,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Shinya Aoki,Antonio McKee,Submission (Punch),2,0:24,,Dream 18,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Bantamweight 61 kg,Bibiano Fernandes,Yoshiro Maeda,Submission (Triangle Choke),1,1:46,,Dream 18,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Middleweight 84 kg,Melvin Manhoef,Denis Kang,TKO (Knee to the body and Punches),1,0:50,,Dream 18,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Welterweight 77 kg,Hayato Sakurai,Phil Baroni,Decision (Unanimous),3,5:00,,Dream 18,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Women's Featherweight 66 kg,Marloes Coenen,Fiona Muxlow,Submission (Armbar),1,2:29,,Dream 18,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Lightweight 70 kg,Will Brooks,Satoru Kitaoka,TKO (Punches),2,3:46,,Dream 18,Dream 18/Glory 4: Tokyo,https://en.wikipedia.org//wiki/2012_in_Glory,
Heavyweight 120 kg,Rico Verhoeven,Tarik Khbabez,TKO (Retirement),1,3:00,Heavyweight Tournament Final,Main card,Glory 77: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Light Heavyweight 95 kg,Alex Pereira (ic),Artem Vakhitov (c),Decision (Split),5,3:00,For the undisputed Glory Light Heavyweight Championship,Main card,Glory 77: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Welterweight 77 kg,Cédric Doumbé (c),Murthel Groenhart (ic),KO (Punch),2,2:52,For the undisputed Glory Welterweight Championship,Main card,Glory 77: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Heavyweight 120 kg,Tarik Khbabez,Levi Rigters,Decision (Majority),3,3:00,Heavyweight Tournament Semi-Finals B,Main card,Glory 77: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Heavyweight 120 kg,Rico Verhoeven,Hesdy Gerges,Decision (Unanimous),3,3:00,Heavyweight Tournament Semi-Finals A,Main card,Glory 77: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Super Bantamweight 55 kg,Tiffany van Soest (c),Aline Pereira,Decision (Unanimous),5,3:00,For the Glory Super Bantamweight Championship,Main card,Glory 77: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Light Heavyweight 95 kg,Luis Tavares,Donegi Abena,Decision (Unanimous),3,3:00,,Main card,Glory 77: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Heavyweight 120 kg,Martin Pacas,Muhammed Balli,KO (Head Kick and Punches),3,2:23,Heavyweight Tournament Reserve Fight,Preliminary card,Glory 77: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Heavyweight 120 kg,Arkadiusz Wrzosek,Badr Hari,KO (Head Kick),2,1:30,,Main card,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Light Heavyweight 95 kg,Artem Vakhitov,Alex Pereira (c),Decision (Majority),5,3:00,For the Glory Light Heavyweight Championship,Main card,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Heavyweight 120 kg,Antonio Plazibat,Tarik Khbabez,KO (Punches),2,2:14,,Main card,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Heavyweight 120 kg,Levi Rigters,Tomáš Možný,TKO (4 Knckdowns Rule),3,1:02,,Main card,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Light Heavyweight 95 kg,Luis Tavares,Felipe Micheletti,Decision (Unanimous),3,3:00,,Main card,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Heavyweight 120 kg,Nordine Mahieddine,Raul Cătinaș,Decision (Unanimous),3,3:00,,Main card,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Welterweight 77 kg,Hamicha,Vedat Hoduk,TKO (Punch to the Body),1,1:20,,Main card,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Middleweight 84 kg,Donovan Wisse,Yousri Belgaroui,TKO (Doctor Stoppage),3,2:10,For the vacant Glory Middleweight Championship,Superfight Series,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Lightweight 70 kg,Tyjani Beztati,Elvis Gashi,Decision (Unanimous),5,3:00,For the vacant Glory Lightweight Championship,Superfight Series,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Lightweight 70 kg,Itay Gershon,Guerric Billet,Draw (Split),3,3:00,,Superfight Series,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Lightweight 70 kg,Mohammed Hendouf,Robson Minoto,TKO (Punch to the Body),3,1:30,,Superfight Series,Glory 78: Rotterdam,https://en.wikipedia.org//wiki/2021_in_Glory,
Heavyweight 120 kg,Rico Verhoeven (c),Jamal Ben Saddik,TKO (Punches),4,0:56,For the Glory Heavyweight Championship,Main card,Glory: Collision 3,https://en.wikipedia.org//wiki/2021_in_Glory,
Heavyweight 120 kg,Gökhan Saki,James McSweeney,KO (Leg Kicks),2,2:13,,Main card,Glory: Collision 3,https://en.wikipedia.org//wiki/2021_in_Glory,
Welterweight 77 kg,Hamicha,Samuel Dbili,TKO (3 Knockdows Rule),1,2:27,,Main card,Glory: Collision 3,https://en.wikipedia.org//wiki/2021_in_Glory,
Light Heavyweight 95 kg,Sergej Maslobojev,Donegi Abena,Decision (Split),3,3:00,,Main card,Glory: Collision 3,https://en.wikipedia.org//wiki/2021_in_Glory,
Heavyweight 120 kg,Antonio Plazibat,Benjamin Adegbuyi,KO (Punches),2,0:24,,Main card,Glory: Collision 3,https://en.wikipedia.org//wiki/2021_in_Glory,
Light Heavyweight 95 kg,Michael Duut,John King,TKO (Knee to the Body),2,1:07,,Main card,Glory: Collision 3,https://en.wikipedia.org//wiki/2021_in_Glory,
Welterweight 77 kg,Alim Nabiev,Troy Jones,Decision (Unanimous),3,3:00,,Glory 79,Glory: Collision 3,https://en.wikipedia.org//wiki/2021_in_Glory,
Featherweight 65 kg,Aleksei Ulianov,Serhiy Adamchuk,Decision (Split),3,3:00,,Glory 79,Glory: Collision 3,https://en.wikipedia.org//wiki/2021_in_Glory,
Middleweight 85 kg,Serkan Ozcaglayan,Matt Baker,TKO (Punches),1,0:58,,Glory 79,Glory: Collision 3,https://en.wikipedia.org//wiki/2021_in_Glory,
Lightweight 70 kg,Stoyan Koprivlenski,Bruno Gazani,Decision (Unanimous),3,3:00,,Glory 79,Glory: Collision 3,https://en.wikipedia.org//wiki/2021_in_Glory,
Featherweight 65 kg,Petchpanomrung Kiatmookao (c),Serhiy Adamchuk,Decision (Unanimous),5,3:00,For the Glory Featherweight Championship,Main card,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Middleweight 85 kg,Yousri Belgaroui,Jakob Styben,TKO (Doctor Stoppage),2,1:02,,Main card,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Lightweight 70 kg,Tyjani Beztati,Michaël Palandre,TKO (Arm Injury),2,3:00,,Main card,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Welterweight 77 kg,Jamie Bates,Harut Grigorian,Decision (Unanimous),3,3:00,,Main card,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Light Heavyweight 95 kg,Sergej Maslobojev,Roel Mannaart,TKO (Punches),1,1:48,,Superfight Series,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Super Bantamweight 55 kg,Anissa Meksen,Ji-Waen Lee,TKO (Knee Injury),2,3:00,,Superfight Series,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Lightweight 70 kg,Guerric Billet,Artur Saladiak,Decision (Unanimous),3,3:00,,Superfight Series,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Lightweight 70 kg,Bruno Gazani,Mohamed Hendouf,Decision (Split),3,3:00,,Superfight Series,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Featherweight 65 kg,Vincent Foschiani,Si-Jun Jin,Decision (Unanimous),3,3:00,,Superfight Series,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Featherweight 65 kg,Antonio Campoy,Bowie Zonneveld,Decision (Unanimous),3,3:00,,Prelims,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Super Bantamweight 55 kg,Lorena Klijn,Almira Tinchurina,Decision (Unanimous),3,3:00,,Prelims,Glory 75: Utrecht,https://en.wikipedia.org//wiki/2020_in_Glory,
Heavyweight 120 kg,Benjamin Adegbuyi,Badr Hari,KO (Body kick and Punches),3,0:50,Glory Heavyweight Championship Eliminator,Main card,Glory 76: Rotterdam,https://en.wikipedia.org//wiki/2020_in_Glory,
Heavyweight 120 kg,Levi Rigters,Nordine Mahieddine,KO (Front kick),1,1:49,Heavyweight Tournament Final,Main card,Glory 76: Rotterdam,https://en.wikipedia.org//wiki/2020_in_Glory,
Welterweight 77 kg,Cédric Doumbé (c),Karim Ghajji,TKO (Punches),3,1:30,For the Glory Welterweight Championship,Main card,Glory 76: Rotterdam,https://en.wikipedia.org//wiki/2020_in_Glory,
Heavyweight 120 kg,Nordine Mahieddine,Antonio Plazibat,Ext.R Decision (Split),4,3:00,Heavyweight Tournament Semi-Finals,Main card,Glory 76: Rotterdam,https://en.wikipedia.org//wiki/2020_in_Glory,
Heavyweight 120 kg,Levi Rigters,Marciano Bhagwandass,KO (Body punch),2,2:42,Heavyweight Tournament Semi-Finals,Main card,Glory 76: Rotterdam,https://en.wikipedia.org//wiki/2020_in_Glory,
Lightweight 70 kg,Tony Jas,Jos van Belzen,Decision (Unanimous),3,3:00,,Prelims,Glory 76: Rotterdam,https://en.wikipedia.org//wiki/2020_in_Glory,
