weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link
Heavyweight,Ryan Bader,Fedor Emelianenko,TKO (punches),1,0:35,[a],Main card,Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Henry Corrales,Aaron Pico,KO (punches),1,1:07,,Main card,Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Jake Hager,J.W. Kiser,Submission (arm-triangle choke),1,2:09,,Main card,Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Juan Archuleta,Ricky Bandejas,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Main card,Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Adel Altamimi,Brandon McMahan,Submission (armbar),1,1:16,,Main card,Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Thor Skancke,Jesse Merritt,Submission (north-south choke),1,4:26,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (160 lb),Jesse Roberts,AJ Agazarm,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (137 lb),Weber Almeida,Odan Chinchilla,KO (punch),1,3:04,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Art Rivas,Sean Johnson,TKO (knees and punches),1,4:30,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Jay Jay Wilson,Tyler Beneke,Submission (rear-naked choke),1,1:31,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Ryan Lilley,James Barnes,KO (head kick),1,1:03,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Craig Plaskett,Ian Butler,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Desmond Torres,Steve Ramirez,Submission (arm-triangle choke),1,4:21,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (190 lb),Osman Diaz,Christopher Reyes,TKO (punches),1,4:15,,Postliminary card (Dark Bouts),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,David Pacheco,Jorge Juarez,TKO (punches),2,3:36,,Postliminary card (Dark Bouts),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Patricky Freire,Ryan Scope,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Main card,Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Corey Browning,Aaron Chalmers,Submission (heel hook),3,0:20,,Main card,Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Chris Bungard,Terry Brazier,Submission (rear-naked choke),1,2:06,,Main card,Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Fabian Edwards,Lee Chadwick,"Decision (unanimous) (30–26, 30–27, 30–27)",3,5:00,,Main card,Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Light Heavyweight,Arunas Andriuskevicus,James Mulheron,TKO (doctor stoppage),3,0:42,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Jim Wallhead,Abner Lloveras,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Cal Ellenor,Nathan Greyson,Submission (rear-naked choke),1,3:49,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Nathan Rose,Ranjett Baria,KO (punch),1,4:59,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Justin Burlinson,Maciej Gierszewski,Submission (rear-naked choke),1,4:04,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Luke Westwood,Richard Kallos,TKO (punches),3,1:32,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Ashley Reece,John Ross,TKO (punches),1,3:42,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Tommy Quinn,Martin Hudson,KO (punches),1,3:02,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Kieran Lister,Davie McLaughlin,KO (punch),1,1:19,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Joseph Calboutin,Milad Ahady,TKO (punches),1,3:30,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Mindaugas Gerve,Tony Mustard,TKO (injury),1,1:46,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator Newcastle,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Matt Mitrione,Sergei Kharitonov,NC (accidental groin kick),1,0:15,,Main card,Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Logan Storley,Ion Pascu,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00,,Main card,Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Eduardo Dantas,Toby Misech,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00,,Main card,Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,John Douma,Mike Kimbel,Submission (triangle choke),1,2:51,,Main card,Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (175 lb),Austin Vanderford,Cody Jones,Submission (arm-triangle choke),1,4:49,,Main card,Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Billy Goff,Ryan Hardy,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Flyweight,Zarrukh Adashev,Ron Arana,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Matt Probin,Ali Zebian,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Pete Rogers Jr.,Jason Rine,TKO (punches),2,0:50,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Steve Mowry,Darion Abbey,Submission (kimura),1,1:27,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Women's Featherweight,Amanda Bell,Amber Leibrock,TKO (punches),1,3:52,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Women's Atomweight,Lindsey VanZandt,Tabatha Watkins,TKO (punches),2,3:25,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Pat McCrohan,Jason Markland,TKO (punches),1,1:11,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 215,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Michael Page,Paul Daley,"Decision (unanimous) (48–47, 48–47, 48–47)",5,5:00,[a],Main card,Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Mirko Cro Cop,Roy Nelson,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Main card,Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Cheick Kongo,Vitaly Minakov,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Main card,Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Yaroslav Amosov,Erick Silva,"Decision (unanimous) (29–27, 29–28, 29–28)",3,5:00,,Main card,Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Women's Flyweight,Valerie Loureda,Colby Fletcher,TKO (punches),1,2:55,,Main card,Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Demetrios Plaza,Andrews Rodriguez,"Decision (unanimous) (29–28, 29–27, 29–27)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Justin Sumter,Reginaldo Felix,Submission (rear-naked choke),2,3:27,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (165 lb),Kemran Lachinov,Kastriot Xhema,Submission (kneebar),2,0:53,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Tyrell Fortune,Ryan Pokryfky,TKO (knee and punches),1,2:21,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Vinicius De Jesus,Rodolpho Barcellos,TKO (punches),1,3:46,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Jesse Kosakowski,Rodolfo Rocha,Submission (rear-naked choke),2,3:05,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Nekruz Mirkhojaev,Pat Casey,Submission (neck crank),3,1:18,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 216,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,James Gallagher,Steven Graham,Submission (rear-naked choke),1,2:31,,Main card,Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Myles Price,Peter Queally,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,,Main card,Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Kiefer Crosbie,Daniel Olejniczak,Submission (rear-naked choke),1,4:09,,Main card,Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Richie Smullen,Adam Gustab,"Decision (unanimous) (30–26, 30–27, 30–27)",3,5:00,,Main card,Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Charlie Ward,Jamie Stephenson,KO (punch),1,0:34,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Paul Redmond,Charlie Leary,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Richard Kiely,Mickael Bucher,KO (punch),1,4:21,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Walter Gahadza,Ruben Crawford,TKO (head kick and punches),1,1:59,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Flyweight,Ryan Curtis,Luis Gonzales,TKO (knee and punches),1,4:59,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (148 lbs),Leah McCourt,Hatice Ozyurt,TKO (doctor stoppage),1,5:00,[a],Preliminary card (Bellator.com and Bellator Mobile App),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Women's Featherweight,Olga Rubin,Iony Razafiarison,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Will Fleury,Shaun Taylor,Submission (rear-naked choke),2,1:32,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Alfie Davis,Daniele Scatizzi,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Christopher Duncan,Samuel Slater,TKO (punches),1,3:52,,Preliminary card (Dark bouts),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Dylan Logan,Andrew Murphy,Submission (armbar),1,2:41,,Preliminary card (Dark bouts),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,George Courtney,Ian Cleary,Submission (guillotine choke),3,0:54,,Preliminary card (Dark bouts),Bellator 217,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Emmanuel Sanchez,Georgi Karakhanyan,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Main card,Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Valentin Moldavsky,Linton Vassell,"Decision (unanimous) (29–27, 29–27, 29–27)",3,5:00,,Main card,Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Anatoly Tokov,Gerald Harris,Submission (guillotine choke),2,0:37,,Main card,Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Norbert Novenyi,William Lavine,Submission (arm-triangle choke),2,4:05,,Main card,Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Women's Catchweight (130 lb),Deborah Kouzmin,Ky Bennett,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary card (Bellator.com and Bellator App),Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Johnny Eblen,Chauncey Foxworth,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary card (Bellator.com and Bellator App),Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,John Macapa,Kevin Croom,"Decision (unanimous) (30–26, 29–27, 30–26)",3,5:00,,Preliminary card (Bellator.com and Bellator App),Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Jordan Newman,Joseph Holmes,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Preliminary card (Bellator.com and Bellator App),Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Vladimir Tokov,Ryan Walker,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (Bellator.com and Bellator App),Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Women's Flyweight,Victoria Leonardo,Malin Hermansson,Submission (armbar),1,4:49,,Preliminary card (Bellator.com and Bellator App),Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Nation Gibrick,Nicholas Page,Submission (rear-naked choke),1,3:14,,Postliminary card (Bellator.com and Bellator App),Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Isaiah Gutierrez,Aaron Vickers,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00,,Postliminary card (Bellator.com and Bellator App),Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Luis Erives,Craig Fairley,TKO (punches),2,2:40,,Postliminary card (Bellator.com and Bellator App),Bellator 218,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Brandon Girtz,Saad Awad,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00,,Main card,Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Daniel Straus,Shane Kruchten,Submission (rear-naked choke),1,3:53,,Main card,Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Andrey Koreshkov,Michael Jasper,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Main card,Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Joe Schilling,Keith Berry,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00,,Main card,Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Joey Davis,Marcus Anthony,KO (punches),1,4:21,,Preliminary card (Bellator.com and Bellator App),Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Light Heavyweight,Dalton Rosta,Cody Vidal,Verbal Submission (injury),1,1:06,,Preliminary card (Bellator.com and Bellator App),Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Sunni Imhotep,Eugene Correa,KO (punch),1,0:44,,Postliminary card (Bellator.com and Bellator App),Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Ricky Furar,Roman Puga,TKO (doctor stoppage),2,5:00,,Postliminary card (Bellator.com and Bellator App),Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (175 lb),John Mercurio,Johnny Cisneros,"Decision (majority) (28–28, 29–28, 29–28)",3,5:00,,Postliminary card (Bellator.com and Bellator App),Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Darren Smith,Joshua Jones,KO (punches),1,0:34,,Postliminary card (Bellator.com and Bellator App),Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Women's Featherweight,Janay Harding,Marina Mokhnatkina,"Decision (unanimous) (29–28, 29–27, 29–28)",3,5:00,,Postliminary card (Bellator.com and Bellator App),Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,David Rickels,A.J. Matthews,TKO (punch),2,3:24,,Postliminary card (Bellator.com and Bellator App),Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Shawn Bunch,Dominic Mazzotta,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00,,Postliminary card (Bellator.com and Bellator App),Bellator 219,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Rory MacDonald (c),Jon Fitch,"Draw (majority) (46–48, 47–47, 47–47)",5,5:00,[a],Main card,Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Women's Flyweight,Ilima-Lei Macfarlane (c),Veta Arteaga,TKO (doctor stoppage – forehead cut),3,1:50,[b],Main card,Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Benson Henderson,Adam Piccolotti,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Main card,Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Light Heavyweight,Phil Davis,Liam McGeary,TKO (punches),3,4:11,,Main card,Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Gaston Bolanos,Nathan Stolen,KO (punches),1,2:21,,Main card,Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Abraham Vaesau,Justin Roswell,TKO (punches),1,1:59,,Preliminary card (Bellator.com and Bellator App),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Jordan Williams,Diego Herzog,TKO (punches),3,1:21,,Preliminary card (Bellator.com and Bellator App),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (140 lb),Josh San Diego,Brandon Laroco,"Decision (split) (30–27, 30–27, 30–26)",3,5:00,,Preliminary card (Bellator.com and Bellator App),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Hyder Amil,Paradise Vaovasa,Submission (rear-naked choke),1,2:34,,Preliminary card (Bellator.com and Bellator App),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Light Heavyweight,Chuck Campbell,Bruno Casillas,KO (knee and punch),1,1:46,,Preliminary card (Bellator.com and Bellator App),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Cass Bell,Peter Ishiguro,KO (knee and punches),1,3:00,,Preliminary card (Bellator.com and Bellator App),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Aviv Gozali,Travis Crain,Submission (rear-naked choke),1,2:15,,Preliminary card (Bellator.com and Bellator App),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Brandon Faumui,Chris Avila,"Decision (split) (30–27, 28–29, 29–28)",3,5:00,,Preliminary card (Bellator.com and Bellator App),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Flyweight,Matthew Perez,Justin Tenedora,KO (punches),1,4:52,,Preliminary card (Bellator.com and Bellator App),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (131 lb),Eric Gunha,Jon Adams,"Draw (majority) (29–27, 28–28, 28–28)",3,5:00,,Postliminary card (Dark),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Tom Ponce De Leon,Jamario Mulder,"Decision (unanimous) (29–27, 29–27, 30–27)",3,5:00,,Postliminary card (Dark),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Chris Inocencio,Boris Novachkov,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Postliminary card (Dark),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Ignacio Ortiz,Roger Severson,"Draw (unanimous) (28–28, 28–28, 28–28)",3,5:00,,Postliminary card (Dark),Bellator 220,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Brent Primus,Tim Wilde,Submission (gogoplata),1,1:20,,Main card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Fabian Edwards,Falco Neto,TKO (upkicks and punches),1,3:51,,Main card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Pedro Carvalho,Derek Campos,KO (punches),1,2:03,,Main card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Raymond Daniels,Wilker Barros,KO (punch),1,4:36,,Main card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Saul Rogers,Aiden Lee,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Brian Moore,Binh Son Le,"Decision (unanimous) (30–26, 30–25, 30–25)",3,5:00,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Kane Mousah,Mateusz Piskorz,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Light Heavyweight,Lee Chadwick,James Mulheron,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Light Heavyweight,Yannick Bahati,Amir Dadović,Submission (kimura),1,3:00,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Dominique Wooding,David Khalsa,TKO (punches),1,2:43,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Jim Wallhead,Giorgio Pietrini,"Decision (unanimous) (29–27, 30–26, 30–27)",3,5:00,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Gavin Hughes,Mohammad Yahya,Submission (rear-naked choke),2,4:51,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Ashley Reece,Craig Turner,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Dan Cassell,John Nicholls,TKO (punches),1,3:09,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Akonne Wanliss,Samuel Slater,TKO (punches),2,3:55,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Raphael Uchegbu,Lee Percival,Submission (triangle choke),1,2:14,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Nicolo Solli,Simon Ridgway,TKO (punches),2,4:32,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Kieran Lister,Constantin Gnusariev,"Draw (split) (29–28, 27–29, 28–28)",3,5:00,,Preliminary card,Bellator Birmingham,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Lightweight,Patrício Pitbull,Michael Chandler (c),TKO (punches),1,1:01,[a],Main card,Bellator 221,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Douglas Lima,Michael Page,KO (punch),2,0:35,[b],Main card,Bellator 221,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,A. J. McKee,Pat Curran,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00,,Main card,Bellator 221,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Jake Hager,T.J Jones,Submission (arm-triangle choke),1,2:36,,Main card,Bellator 221,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Tywan Claxton,James Bennett,TKO (punches),3,2:09,,Main card,Bellator 221,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Robert Fenicle,Bryan Bautista,Submission (heel hook),1,1:42,,Preliminary card (Paramount Network.com),Bellator 221,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Khuukhenkhuu Amartuvshin,Adam Ward,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (Paramount Network.com),Bellator 221,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Flyweight,Christian Rodriguez,Jose Leon,Submission (armbar),1,4:35,,Preliminary card (Paramount Network.com),Bellator 221,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Middleweight,Robert Morrow,James Bochnovic,KO (punches),1,1:18,,Preliminary card (Paramount Network.com),Bellator 221,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
